Filename,Title,9,441,Transfer notes,Subdir,Sort,IMDbID,Year,Directors,Actors,Runtime,Priority,Notes,Poster,Genre,Plot,Tagline,Trailer
A Hard Days Night Special Features.iso,A Hard Day's Night - Special Features,OK,-,,,,,,,,,,,,,,,
After Hours.iso,After Hours,OK,OK,,,,https://www.imdb.com/title/tt0088680/?ref_=fn_al_tt_1,1985,Martin Scorsese,Griffin Dunne; Rosanna Arquette; Linda Fiorentino; Catherine O'Hara; Verna Bloom; John Heard; Teri Garr; Will Patton; Cheech Marin; Tommy Chong; Bronson Pinchot,97,2,"Martin Scorsese, better known for gangster movies, made this black comedy about a New York yuppie who discovers how different his city is during the hours he's usually sleeping.",https://m.media-amazon.com/images/M/MV5BMTUxMjEzMzI2MV5BMl5BanBnXkFtZTgwNTU3ODAxMDE@._V1_.jpg,Comedy; Crime; Drama; Thriller,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop.,,https://youtu.be/LQRawYZl-ls
Airplane Sce.iso,Airplane!,OK,OK,,,,https://www.imdb.com/title/tt0080339/?ref_=fn_tt_tt_4,1980,Jim Abrahams; David Zucker; Jerry Zucker,Robert Hays; Julie Hagerty; Leslie Nielsen; Kareem Abdul-Jabbar,88,,,https://m.media-amazon.com/images/M/MV5BZjA3YjdhMWEtYjc2Ni00YzVlLWI0MTUtMGZmNTJjNmU0Yzk2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,Comedy,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.,,https://www.youtube.com/watch?v=Z2mo2GdC6nc
Aladdin.iso,Aladdin,OK,OK,,,,tt0103639,1992,Ron Clements; John Musker,Scott Weinger; Robin Williams; Linda Larkin; Jonathan Freeman,90,,,https://m.media-amazon.com/images/M/MV5BZTg5ZTVmM2EtZjdhZC00MzBjLWEwZTYtNWIwZDczYzZkMzA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,Animation; Adventure; Comedy; Family; Fantasy; Musical; Romance,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,,https://youtu.be/8HrmBXgiwDU
Aladdin Bonus.iso,Aladdin - Special Features,OK,-,,,,,,,,,,,,,,,
Allofme.iso,All Of Me,OK,OK,Pan and scan,,,https://www.imdb.com/title/tt0086873/?ref_=fn_al_tt_1,1984,Carl Reiner,Steve Martin; Lily Tomlin; Victoria Tennant; Madolyn Smith Osborne,93,3,"Cute comedy about a lawyer who must share his body with the spirit of his recently deceased client, a disagreeable rich woman.",https://m.media-amazon.com/images/M/MV5BZDgyZWQ1ZWUtMjQxZS00MzlkLWEzYWEtZjllZTI1OTk0Mjg5XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_.jpg,Comedy; Fantasy; Romance,"A dying millionaire has her soul transferred into a younger, willing woman. However, something goes wrong, and she finds herself in her lawyer's body - together with the lawyer.",,https://www.youtube.com/watch?v=mgB3uH4VHuA
Allthatjazz.iso,All That Jazz,OK,OK,,,,https://www.imdb.com/title/tt0078754/?ref_=fn_al_tt_1,1979,Bob Fosse,Roy Scheider,123,,,https://m.media-amazon.com/images/M/MV5BZWE4N2JkNDUtZDU4MC00ZjNhLTlkMjYtOTNkMjZhMDAwMDMyXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_.jpg,Drama; Music; Musical,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer.",,https://youtu.be/C74Pae3PpMo
Animal House.iso,Animal House,OK,OK,,,,tt0077975,1978,John Landis,John Belushi; Karen Allen; Tom Hulce; Stephen Furst,109,,,https://m.media-amazon.com/images/M/MV5BM2M2ZDA4MTYtOGRjMi00OTg5LWI1ZTUtMjQxZTc2NWZjNDFkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_.jpg,Comedy,"At a 1962 college, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.",,https://youtu.be/KWjtI6n5xWM
Animals Are Beautiful People.iso,Animals Are Beautiful People,OK,OK,,,,https://www.imdb.com/title/tt0071143/?ref_=fn_tt_tt_1,1974,Jamie Uys,Paddy O'Byrne,92,,,https://m.media-amazon.com/images/M/MV5BY2UwMmRhZDctMWYwMi00ZTJmLTllZGUtNDFiZjMzZDI4YjgwXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_.jpg,Comedy; Documentary,Hilarious documentary on the wildlife of the Namib Desert.,,https://youtu.be/024pjWAvGBA
Apocalypse.iso,Apocalypse Now,OK,OK,,,,tt0078788,1979,Francis Ford Coppola,Martin Sheen; Marlon Brando; Robert Duvall; Frederic Forrest,147,2,"Martin Sheen had a heart attack, Marlon Brando was too obese to perform his role and didn't learn his lines, typhoons destroyed the sets, prop cadavers turned out to be the real thing, and director Francis Coppola nearly had a breakdown, but somehow it all adds to the authenticity of this hallucinatory film, an updating of Joseph Conrad's ""Heart of Darkness"" about the chaos and insanity that was the Vietnam War.",https://m.media-amazon.com/images/M/MV5BMDdhODg0MjYtYzBiOS00ZmI5LWEwZGYtZDEyNDU4MmQyNzFkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,Drama; Mystery; War,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,,https://www.youtube.com/watch?v=FTjG-Aux_yQ
Apollo 13.iso,Apollo 13,OK,OK,,,,tt0112384,1995,Ron Howard,Tom Hanks; Bill Paxton; Gary Sinise; Ed Harris; Kevin Bacon,140,,,https://m.media-amazon.com/images/M/MV5BNjEzYjJmNzgtNDkwNy00MTQ4LTlmMWMtNzA4YjE2NjI0ZDg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,Adventure; Drama; History,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,,https://youtu.be/e3ZtOS4MCkk
Arthur 4x3ff.iso,Arthur,OK,OK,pan and scan,,,https://www.imdb.com/title/tt0082031/?ref_=fn_al_tt_1,1981,Steve Gordon,Dudley Moore; Liza Minelli; John Gielgud,97,,,https://m.media-amazon.com/images/M/MV5BZjc4NGYwYmQtZDgyYi00OTQ1LWJmOTgtNWEwNmY1NjczMzVhXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_.jpg,Comedy; Romance,"Alcoholic billionaire playboy Arthur Bach must marry a woman he does not love, or he will be cut off from his $750,000,000 fortune. But when Arthur falls in love with a poor waitress, he must decide if he wants to choose love or money.",,https://www.youtube.com/watch?v=Z-vMsjd0ccM
Atomic Blonde.iso,Atomic Blonde,OK,OK,,,,https://www.imdb.com/title/tt2406566/?ref_=fn_al_tt_1,2017,David Leitch,Charlize Theron; James McAvoy,115,,,https://m.media-amazon.com/images/M/MV5BMjM5NDYzMzg5N15BMl5BanBnXkFtZTgwOTM2NDU1MjI@._V1_.jpg,Action; Thriller,An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.,,https://www.youtube.com/watch?v=yIUube1pSC0
Babel Domestic.iso,Babel,OK,OK,,,,https://www.imdb.com/title/tt0449467/?ref_=fn_al_tt_1,2006,Alejandro G. Iñárritu,Brad Pitt; Cate Blanchett; Gael García Bernal; Mohamed Akhzam,143,,,https://m.media-amazon.com/images/M/MV5BYTJkZDljNGYtNjRiNC00ZmY2LTg1NmItYTI1MTllNDQzMWVmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,Drama,"Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families.",,https://www.youtube.com/watch?v=yDNa6t-TDrQ
Bambi.iso,Bambi,OK,OK,,,,tt0034492,1942,James Algar; Samuel Armstrong; David Hand; Graham Heid; Bill Roberts; Paul Satterfield; Norman Wright; Arthur Davis; Clyde Geronimi,Hardie Albright; Stan Alexander; Bobette Audrey; Peter Behn,70,,,https://m.media-amazon.com/images/M/MV5BY2JhMTJmYjYtNTVkYi00OWE3LWJlMjEtOWI4MTFkMjJhMmQ3XkEyXkFqcGdeQXVyNzY1NDgwNjQ@._V1_.jpg,Animation; Drama; Family,The story of a young deer growing up in the forest.,,https://www.youtube.com/watch?v=nLvX-erABqY
Bambi Bonus.iso,Bambi - Special Features,-,-,,,,,,,,,,,,,,,
Barry Lyndon 4x3 Na.iso,Barry Lyndon,OK,OK,,,,https://www.imdb.com/title/tt0072684/?ref_=fn_al_tt_1,1975,Stanley Kubrick,Ryan O'Neal,185,3,"Stanley Kubrick meticulously recreated eighteenth-century Britain in this long, slow, but immersive and excellent story about a rogue who climbs the social ladder.",https://m.media-amazon.com/images/M/MV5BNmY0MWY2NDctZDdmMi00MjA1LTk0ZTQtZDMyZTQ1NTNlYzVjXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,Adventure; Drama; History; War,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,,https://www.youtube.com/watch?v=cwXa1n8jcNQ
Batman.iso,Batman,OK,OK,,,,https://www.imdb.com/title/tt0060153/?ref_=fn_tt_tt_23,1966,Leslie H. Martinson,Adam West; Burt Ward; Cesar Romero; Burgess Meredith; Lee Meriwether; Frank Gorshin,105,,,https://m.media-amazon.com/images/M/MV5BMmM1OGIzM2UtNThhZS00ZGNlLWI4NzEtZjlhOTNhNmYxZGQ0XkEyXkFqcGdeQXVyNTkxMzEwMzU@._V1_.jpg,Adventure; Comedy; Crime; Family,The Dynamic Duo faces four supervillains who plan to hold the world for ransom with the help of a secret invention that instantly dehydrates people.,,https://youtu.be/xuYRyef-xf4
Batman Begins.iso,Batman Begins,OK,OK,,,,https://www.imdb.com/title/tt0372784/?ref_=fn_al_tt_1,2005,Christopher Nolan,Christian Bale; Michael Caine; Liam Neeson; Gary Oldman; Katie Holmes; Cillian Murphy,140,,,https://m.media-amazon.com/images/M/MV5BOTY4YjI2N2MtYmFlMC00ZjcyLTg3YjEtMDQyM2ZjYzQ5YWFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,Action; Adventure,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",,https://www.youtube.com/watch?v=qHhHIbNuok8
Batman Begins Bonus Disc.iso,Batman Begins - Special Features,-,-,,,,,,,,,,,,,,,
Batman Mask Of Phantasm.iso,Batman: Mask of the Phantasm,OK,OK,,,,https://www.imdb.com/title/tt0106364/?ref_=fn_al_tt_1,1993,Bruce Timm; Eric Radomski,Kevin Conroy; Dana Delaney; Mark Hamill; Efrem Zimbalist Jr.; Abe Vigoda; Stacy Keach; Hart Bochner,76,,,https://m.media-amazon.com/images/M/MV5BYTRiMWM3MGItNjAxZC00M2E3LThhODgtM2QwOGNmZGU4OWZhXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_.jpg,Animation; Action; Crime; Drama; Mystery; Romance; Thriller,Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.,,https://www.youtube.com/watch?v=4PK5CYZlHMA
Batman Brave Bold S1 Pt2 D1.iso,"Batman: The Brave and the Bold, season 1, part 2, disc 1",OK,,,,,,,,,,,,,,,,
Batman Brave Bold S1 Pt2 D2.iso,"Batman: The Brave and the Bold, season 1, part 2, disc 2",OK,,,,,,,,,,,,,,,,
Batman Brave Bold Season 2 D1.iso,"Batman: The Brave and the Bold, season 2, part 1, disc 1",OK,,,,,,,,,,,,,,,,
Batman Brave Bold Season 2 D2.iso,"Batman: The Brave and the Bold, season 2, part 1, disc 2",OK,,,,,,,,,,,,,,,,
Batman Brave And Bold Vol1.iso,"Batman: The Brave and the Bold, vol. 1",OK,,,,,,,,,,,,,,,,
Batman Brave And Bold Vol2.iso,"Batman: The Brave and the Bold, vol. 2",OK,,,,,,,,,,,,,,,,
Batman Brave And Bold Vol3.iso,"Batman: The Brave and the Bold, vol. 3",OK,,,,,,,,,,,,,,,,
Malkovch.iso,Being John Malkovich,OK,OK,,,,https://www.imdb.com/title/tt0120601/?ref_=fn_al_tt_1,1999,Spike Jonze,John Cusack; Cameron Diaz; John Malkovich; Catherine Keener; Orson Bean,113,,,https://m.media-amazon.com/images/M/MV5BYmUxY2MyOTQtYjRlMi00ZWEwLTkzODctZDMxNDcyNTFhYjNjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_.jpg,Comedy; Drama; Fantasy,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,,https://youtu.be/2UuRFr0GnHM
Belle De Jour.iso,Belle de Jour,OK,OK,,,,tt0061395,1967,Luis Buñuel,Catherine Deneuve; Jean Sorel; Michel Piccoli; Geneviève Page,100,,,https://m.media-amazon.com/images/M/MV5BZjNkNGJjYWEtM2IyNi00ZjM5LWFlYjYtYjQ4NTU5MGFlMTI2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_.jpg,Drama; Romance,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,,https://www.youtube.com/watch?v=dnYA6mj9hDU
Big Fish.iso,Big Fish,OK,OK,,,,https://www.imdb.com/title/tt0319061/?ref_=fn_al_tt_1,2003,Tim Burton,Ewan McGregor; Albert Finney; Billy Crudup; Jessica Lange; Danny DeVito,125,,,https://m.media-amazon.com/images/M/MV5BMmU3NzIyODctYjVhOC00NzBmLTlhNWItMzBlODEwZTlmMjUzXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg,Adventure; Drama; Fantasy; Romance,A frustrated son tries to determine the fact from fiction in his dying father's life.,,https://www.youtube.com/watch?v=D0kiS4ROWkQ
Bill And Teds Excellent Adven.iso,Bill & Ted's Excellent Adventure,OK,OK,,,,tt0096928,1989,Stephen Herek,Keanu Reeves; Alex Winter; George Carlin; Terry Camilleri,90,,,https://m.media-amazon.com/images/M/MV5BMTk3Mjk5MzI3OF5BMl5BanBnXkFtZTcwMTY4MzcyNA@@._V1_.jpg,Adventure; Comedy; Music; Romance; Sci-Fi,Two seemingly dumb teens set off on a quest to prepare the ultimate historical presentation with the help of a time machine.,,https://youtu.be/NIWuVXw06-c
Black Swan.iso,Black Swan,OK,OK,,,,tt0947798,2010,Darren Aronofsky,Natalie Portman; Mila Kunis; Vincent Cassel; Winona Ryder,108,,,https://m.media-amazon.com/images/M/MV5BNzY2NzI4OTE5MF5BMl5BanBnXkFtZTcwMjMyNDY4Mw@@._V1_.jpg,Drama; Thriller,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",,https://www.youtube.com/watch?v=5jaI1XOB-bs
Blades Of Glory 16x9.iso,Blades of Glory,OK,OK,,,,https://www.imdb.com/title/tt0445934/?ref_=fn_al_tt_1,2007,Josh Gordon; Will Speck,Will Ferrell; Jon Heder; Jenna Fischer; Amy Poehler; Will Arnett,93,,,https://m.media-amazon.com/images/M/MV5BMTY3MDMyMTYxMl5BMl5BanBnXkFtZTcwMjk0NzI0MQ@@._V1_.jpg,Comedy; Sport,"In 2002, two rival Olympic ice skaters were stripped of their gold medals and permanently banned from men's single competition. Presently, however, they've found a loophole that will allow them to qualify as a pairs team.",,https://www.youtube.com/watch?v=UrZb-dZKCIQ
Blockers.iso,Blockers,OK,OK,,,,https://www.imdb.com/title/tt2531344/?ref_=fn_al_tt_1,2018,Kay Cannon,John Cena; Leslie Mann; Kathryn Newton; Ike Barinholtz,102,,,https://m.media-amazon.com/images/M/MV5BMjE0ODIzNjkzMl5BMl5BanBnXkFtZTgwODQ3MzU4NDM@._V1_.jpg,Comedy,Three parents try to stop their daughters from losing their virginity on prom night.,,https://www.youtube.com/watch?v=RfFcaV5O7SU
Body Heat 16x9ff.iso,Body Heat,OK,OK,,,,https://www.imdb.com/title/tt0082089/?ref_=fn_al_tt_1,1981,Lawrence Kasdan,William Hurt; Kathleen Turner; Ted Danson; Richard Crenna; Mickey Rourke,113,1,"A second-rate lawyer falls into an affair with a married woman, and they plot to kill her rich husband. Lawrence Kasdan (who wrote Raiders of the Lost Ark, and later wrote and directed Silverado among many other things) updates and pays homage to the steamy noir thrillers of the forties. Young William Hurt! Young Ted Danson! Young Mickey Rourke!",https://m.media-amazon.com/images/M/MV5BMmFkNWJiNzAtOTFiMi00OGQxLTgxYjctNjMxYzc4MWMxOWVkXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_.jpg,Crime; Drama; Romance; Thriller,"In the midst of a searing Florida heat wave, a woman persuades her lover, a small-town lawyer, to murder her rich husband.",,https://www.youtube.com/watch?v=Wz-Pf9_SKeI
Bonnie And Clyde 16x9ff Na.iso,Bonnie and Clyde,OK,OK,,,,tt0061418,1967,Arthur Penn,Warren Beatty; Faye Dunaway; Gene Hackman; Michael J. Pollard,111,,,https://m.media-amazon.com/images/M/MV5BOTViZmMwOGEtYzc4Yy00ZGQ1LWFkZDQtMDljNGZlMjAxMjhiXkEyXkFqcGdeQXVyNzM0MTUwNTY@._V1_.jpg,Action; Biography; Crime; Drama,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",,https://www.youtube.com/watch?v=hZpm1zj9510
Boogie Nights D1.iso,Boogie Nights,OK,OK,,,,https://www.imdb.com/title/tt0118749/?ref_=fn_al_tt_1,1997,Paul Thomas Anderson,Mark Wahlberg; Julianne Moore; Burt Reynolds; Heather Graham; John C. Reilly; William H. Macy; Don Cheadle,155,2,Amazing performances from a star-studded cast depicting the early days of the modern porn industry.,https://m.media-amazon.com/images/M/MV5BY2E2YWYxY2QtZmJmZi00MjJlLWFiYWItZTk5Y2IyMWQ1ZThhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,Drama,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.",,https://www.youtube.com/watch?v=-7-JVbUtyoI
Boogie Nights D2.iso,Boogie Nights - Special Features,-,-,,,,,,,,,,,,,,,
Booksmart.iso,Booksmart,OK,OK,,,,https://www.imdb.com/title/tt1489887/?ref_=fn_al_tt_1,2019,Olivia Wilde,Kaitlyn Dever; Beanie Feldstein,102,1,"A teen sex comedy, but from a female perspective for once, hilarious and with a lot of heart.",https://m.media-amazon.com/images/M/MV5BMjEzMjcxNjA2Nl5BMl5BanBnXkFtZTgwMjAxMDM2NzM@._V1_.jpg,Comedy,"On the eve of their high school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into one night.",,https://www.youtube.com/watch?v=VjGJm3wV5-I
Borat 16x9.iso,Borat,OK,OK,,,,https://www.imdb.com/title/tt0443453/?ref_=fn_al_tt_1,2006,Larry Charles,Sacha Baron Cohen,84,,,https://m.media-amazon.com/images/M/MV5BMTk0MTQ3NDQ4Ml5BMl5BanBnXkFtZTcwOTQ3OTQzMw@@._V1_.jpg,Comedy,"Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world. With a documentary crew in tow, Borat becomes more interested in locating and marrying Pamela Anderson.",,https://www.youtube.com/watch?v=fzFHMhsTdf0
Brick.iso,Brick,OK,OK,,,,https://www.imdb.com/title/tt0393109/?ref_=fn_al_tt_2,2005,Rian Johnson,Joseph Gordon-Levitt; Lukas Haas; Emilie de Ravin,110,,"Rian Johnson's directorial debut, a classic noir detective thriller but set in a modern high school.",https://m.media-amazon.com/images/M/MV5BMTk4MjQzMzA2N15BMl5BanBnXkFtZTcwMTU2MzIzMQ@@._V1_.jpg,Action; Crime; Drama; Mystery; Thriller,A teenage loner pushes his way into the underworld of a high school crime ring to investigate the disappearance of his ex-girlfriend.,,https://www.youtube.com/watch?v=4Zfw8__A7ps
Bridget Jones Diary.iso,Bridget Jones's Diary,OK,OK,,,,tt0243155,2001,Sharon Maguire,Renée Zellweger; Colin Firth; Hugh Grant; Gemma Jones,97,,,https://m.media-amazon.com/images/M/MV5BYjc3NjU1ZTEtNmNjNi00YzNiLWI3OWQtMTJmYTRkZDc1NDE2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,Comedy; Drama; Romance,Bridget Jones is determined to improve herself while she looks for love in a year in which she keeps a personal diary.,,https://www.youtube.com/watch?v=EH9CWWqb-6E
BroadwayDannyRose.iso,Broadway Danny Rose,OK,OK,,,,https://www.imdb.com/title/tt0087003/?ref_=fn_al_tt_1,1984,Woody Allen,Woody Allen; Mia Farrow; Nick Apollo Forte,84,1,"I know Woody Allen's canceled, but this movie is sooo good, about a second-rate talent manager who has one really promising act, and the crazy adventure he has with his client's mistress.",https://m.media-amazon.com/images/M/MV5BMTkwMDQ4MjMwNF5BMl5BanBnXkFtZTcwNTM4OTYwNA@@._V1_.jpg,Comedy,"In his attempts to reconcile a lounge singer with his mistress, a hapless talent agent is mistaken as her lover by a jealous gangster.",,https://www.youtube.com/watch?v=jYn4tlHsFgA
CapricornOne.iso,Capricorn One,OK,OK,non-anamorphic,,,https://www.imdb.com/title/tt0077294/?ref_=fn_al_tt_1,1977,Peter Hyams,James Brolin; Sam Waterston; O.J. Simpson; Elliott Gould; Hal Holbrook; Brenda Vaccaro; Karen Black,123,,,https://m.media-amazon.com/images/M/MV5BNGVlOTk2NGItMDBmYS00M2I0LWI2ZDYtYjRmNDQ5NDE0NmY4XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg,Action; Adventure; Drama; Thriller,"When the first manned flight to Mars is deemed unsafe and scrubbed on the launch pad, anxious authorities must scramble to save face and retain their funding - and so an unthinkable plot to fake the mission is hatched.",,https://youtu.be/6HQznt5TS3Y
Casablanca Disc 1.iso,Casablanca,OK,OK,,,,https://www.imdb.com/title/tt0034583/?ref_=fn_al_tt_1,1943,Michael Curtiz,Humphrey Bogart; Ingrid Bergman; Paul Henreid; Claude Rains; Dooley Wilson; Peter Lorre; Sydney Greenstreet,102,,,https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_.jpg,Drama; Romance; War,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,,https://www.youtube.com/watch?v=S9ID5DHsX8g
Casablanca Disc 2.iso,Casablanca - Special Features,-,-,,,,,,,,,,,,,,,
